frame_idx,origin_source,mode,used_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,obj_euler_x_deg,obj_euler_y_deg,obj_euler_z_deg,filter_mode,quat_order,apply_x_map
52,1,primary,0,-1.248925053920868,0.36670580553363885,-0.21158778903011033,0.009147095564906458,0.999322131161877,0.022438210467040885,0.02771525796105249,178.87950203050588,-3.1518518765103676,2.6033695554715592,ema,wxyz,-X
53,1,primary,0,-1.249232084041365,0.367053840310409,-0.2110941610887315,0.00900919679397304,0.9993943845464441,0.020368791926738624,0.026735946319645546,178.90423216021287,-3.0422593725985796,2.3642816971610383,ema,wxyz,-X
54,1,primary,0,-1.2496149978594613,0.3664564332520221,-0.211649339439845,0.01003638388185113,0.9994254357076693,0.018892669428854092,0.026289475098670273,178.79192628330918,-2.990450404101314,2.1974620342024243,ema,wxyz,-X
55,1,primary,0,-1.2398669645406104,0.3634766585104391,-0.22195609897917976,4.411729289164913e-06,0.9991191260569363,0.016334090761895986,0.038654487536931,179.92692506971642,-4.429980363494587,1.8760586807182231,ema,wxyz,-X
56,1,fallback,"2,5",-1.231674212899589,0.39163428372526016,-0.22057899634820557,-0.020385166309730654,0.999595043621862,0.01733725578915209,0.009675397812700586,-177.68310313417828,-1.148846191734226,1.964076597890812,ema,wxyz,-X
57,1,primary,0,-1.2269297409029472,0.38027337960904095,-0.23059194322753476,-0.02248942972547584,0.9992563538617564,0.016053969944240493,0.026893026355560366,-177.46971403512345,-3.12233996105161,1.7718877598521956,ema,wxyz,-X
58,1,primary,0,-1.2229914056629738,0.3725999356076399,-0.23999693067449362,-0.023000972368137824,0.998801886435098,0.015118113415344109,0.04046219927995064,-177.42811632757733,-4.676107707681773,1.629327773457346,ema,wxyz,-X
59,1,primary,0,-1.2198735631004802,0.3686844509736551,-0.24567633288549848,-0.02184604084316561,0.99836847233673,0.014688549284125491,0.050669423357984085,-177.5726620387895,-5.843712141572796,1.5619023323276584,ema,wxyz,-X
60,1,primary,0,-1.2215298249755975,0.3662802628908053,-0.24230996475920447,-0.022165633532731273,0.9983144832279597,0.01415622305095127,0.05173469451264041,-177.53410093945502,-5.9650937848246075,1.4963147295515071,ema,wxyz,-X
61,1,primary,0,-1.2217320373455078,0.36561196701230225,-0.24332450434012368,-0.021098322045690704,0.9981869704822424,0.013938267855521408,0.0546201195122009,-177.6591767190048,-6.294006238886641,1.4712865611350463,ema,wxyz,-X
62,1,primary,0,-1.2281591801641547,0.364907202106289,-0.2363889480489628,-0.014572343252404212,0.9986725760597056,0.013708961206594275,0.0474636389359456,-178.39943435598536,-5.462877906499504,1.4965545654457102,ema,wxyz,-X
63,1,primary,0,-1.2332736817364662,0.36520295631373845,-0.23018298454559502,-0.008650152291548889,0.9989862065364243,0.013658627235606348,0.04201399668368139,-179.07219572447238,-4.8288218536760015,1.5275329888001659,ema,wxyz,-X
64,1,primary,0,-1.23717904753248,0.36655733614777286,-0.22508374339458245,-0.0030004685418374573,0.9991891012366801,0.013889813153502273,0.03767240699670848,-179.71560189675364,-4.322313496062692,1.5821120574754657,ema,wxyz,-X
65,1,primary,0,-1.2403833714234493,0.36646979284345366,-0.21972957077347588,-0.00040485474000456274,0.9993317035589275,0.013823859378995194,0.03383612369230807,179.99274559610515,-3.8783453202409106,1.5853014739535987,ema,wxyz,-X
66,1,primary,0,-1.242874083894741,0.36769533822044825,-0.21751346936908098,0.003643988843511708,0.9993532492616283,0.014271436747723257,0.032804430016235224,179.52803411351573,-3.753404265409245,1.6517980144240718,ema,wxyz,-X
67,1,primary,0,-1.24475061445977,0.3675901491153263,-0.21499370219137176,0.004579856589204594,0.999393173962743,0.01420350233035275,0.03147331046853148,179.42313195531545,-3.5992998250817427,1.6466055429902922,ema,wxyz,-X
68,1,primary,0,-1.2460823080155474,0.36771171400962605,-0.2134611022683998,0.005653362126820367,0.9994196397357618,0.014042087750974349,0.0305162739976092,179.30213458583373,-3.487935008255212,1.6311816318954768,ema,wxyz,-X
69,1,primary,0,-1.2468104876271953,0.36734617507976836,-0.21429788279828213,0.0054822236324794495,0.9994403548628926,0.013870809605679962,0.029941992860559603,179.32332030804645,-3.4225005350967397,1.6104822474475557,ema,wxyz,-X
70,1,primary,0,-1.2472104783605662,0.36702386386761654,-0.21425204790362526,0.005670345160280238,0.9994630291270529,0.013930372865684397,0.02911091385996253,179.3029133983482,-3.3268913101495365,1.617301538451581,ema,wxyz,-X
71,1,primary,0,-1.2477160849406133,0.36614371489102726,-0.21395799199119023,0.005639841144450691,0.9994959241567312,0.013683023004780855,0.02808673472296049,179.30890787859795,-3.2097158642304957,1.5880145431183836,ema,wxyz,-X
72,1,primary,0,-1.2485354396031956,0.36669364305679975,-0.21148846078279382,0.006442389838770002,0.9995206267717408,0.013762046817221303,0.026974401539095975,179.21841752184088,-3.080881674023888,1.5986898830571448,ema,wxyz,-X
73,1,primary,0,-1.2484558347496482,0.36547455858496947,-0.21382537582359087,0.006216177069565588,0.9995164868015178,0.013592295193797026,0.027265385857452893,179.2444173984166,-3.1147242131173596,1.578762634820064,ema,wxyz,-X
74,1,primary,0,-1.2486072245186668,0.36564871756574363,-0.212386526100993,0.0061949172896145896,0.9995304435720698,0.013568339368676166,0.026765939908263967,179.24773952004912,-3.0575295728130074,1.5755288923085145,ema,wxyz,-X
75,1,primary,0,-1.2486192378350642,0.365044934921063,-0.21265439086680013,0.006059963482690407,0.9995403789083566,0.013553873585086869,0.026431047750080032,179.26380464861577,-3.0193680951293294,1.5731812053276404,ema,wxyz,-X
76,1,primary,0,-1.2488263153796924,0.3658225633944556,-0.21275826360461397,0.006794676575041289,0.9995256096950761,0.013593227701161432,0.026788282785416326,179.17883126247338,-3.0591242139112094,1.5802398009884524,ema,wxyz,-X
77,1,primary,0,-1.2490874537712446,0.36596209748340236,-0.21065774226356385,0.007136298057012026,0.9995458834484029,0.013664929092955164,0.025891501390957028,179.14089366616685,-2.9557363632472593,1.5886641905006615,ema,wxyz,-X
78,1,primary,0,-1.2492303462272432,0.36685165820842114,-0.209408830847914,0.00848199853628854,0.999548404179456,0.013775363503099821,0.0253235614298385,178.98715982887035,-2.8883899880166997,1.604689271086509,ema,wxyz,-X
79,1,primary,0,-1.2489918034518162,0.36777366959263014,-0.21007381289849295,0.009368871456768929,0.9995298243524507,0.013819459621438938,0.025717251279189716,178.88465508761732,-2.932037380253531,1.6127826959352394,ema,wxyz,-X
80,1,primary,0,-1.2490453734261067,0.3674997921804817,-0.20914910661357194,0.00927678698154415,0.9995553298295011,0.013730084471774021,0.024790494410845552,178.89701757194527,-2.8260683165642835,1.6011609485856033,ema,wxyz,-X
81,1,primary,0,-1.249155424837174,0.36741125083218557,-0.2091714199036349,0.009879326010045314,0.9995682278945245,0.013779887084870202,0.023997320961214184,178.82909392071315,-2.7341406273250377,1.6075847185180516,ema,wxyz,-X
82,1,primary,0,-1.2487067401186738,0.3677540818605244,-0.20777109316504602,0.010279877788028175,0.9996052305230726,0.013887348549149975,0.022155107173124567,178.78595386572277,-2.5222414729328384,1.6186263139357568,ema,wxyz,-X
83,1,primary,0,-1.2486276579576714,0.368116716027402,-0.2088361755936209,0.010128868750972938,0.9995737175899354,0.013999992489591162,0.023532728944025676,178.80065932510135,-2.680230411193757,1.6329182259049853,ema,wxyz,-X
84,1,primary,0,-1.24915463596684,0.36723561364461144,-0.20847430417782276,0.00850479483418878,0.9995767140199997,0.01381737550909143,0.024148320601004206,178.98637628604752,-2.753616181912138,1.6082867500226221,ema,wxyz,-X
85,1,primary,0,-1.249449584242667,0.3669586146428085,-0.20726592714499684,0.007598624516459565,0.9995779411685194,0.013610981049151599,0.02451411082706287,179.09027244279355,-2.797183968459861,1.5824770348102173,ema,wxyz,-X
86,1,primary,0,-1.249744062972868,0.36655350559837585,-0.20694290800644938,0.007484276292901107,0.9995773508518543,0.01348282183533773,0.024643838737445488,179.10353618077758,-2.812348179553637,1.5675833327457656,ema,wxyz,-X
87,1,primary,0,-1.2493500536893696,0.3656958365484897,-0.20802625768723568,0.0075692059565730125,0.9995788927860689,0.01347604282670988,0.02455891869558285,179.0939519236081,-2.8024883401104694,1.566961220038996,ema,wxyz,-X
88,1,primary,0,-1.2494068589808203,0.3656688424579469,-0.2082305628811804,0.00748094975497223,0.9995739422859057,0.013383908193737725,0.02483626975288383,179.10388774005102,-2.8344969494507573,1.5564158334829887,ema,wxyz,-X
89,1,primary,0,-1.2497094356438554,0.36465056956543346,-0.2086968870025329,0.007318044676597139,0.9995771572500065,0.013128563968677424,0.024891639846090965,179.12320883226238,-2.841320703247985,1.5267175752341362,ema,wxyz,-X
90,1,primary,0,-1.2497816471472682,0.3649893487427361,-0.20887558071358578,0.008138789128182118,0.999575932555047,0.013172440906844154,0.024661751129857728,179.02931668694058,-2.8136757513064374,1.5338429881077367,ema,wxyz,-X
91,1,primary,0,-1.2490465466276215,0.3651224029099215,-0.21161845482656477,0.008166385279231365,0.9995525299997644,0.0132541236260229,0.02554169394240545,179.0245181753249,-2.9144062540872677,1.5442169403047288,ema,wxyz,-X
92,1,primary,0,-1.2488069427991788,0.3654598107387049,-0.21217855493338236,0.008287728798020949,0.9995332579692322,0.013234798448798466,0.026256806256712496,179.00951527546795,-2.9962002784822532,1.5431202478512016,ema,wxyz,-X
93,1,primary,0,-1.249196826118296,0.3659752989381225,-0.2117430969333337,0.00927438781902573,0.9994910508618575,0.013684604154898193,0.027282899163505608,178.8932903959425,-3.1117848023285353,1.5989021238743186,ema,wxyz,-X
94,1,primary,0,-1.2489198124939909,0.36609905117576325,-0.21187407837246985,0.009410862948651387,0.999505136174428,0.013753382012065597,0.026678884960395367,178.8784295127577,-3.042259738622591,1.6064864955033635,ema,wxyz,-X
95,1,primary,0,-1.2484181394261333,0.36607677937100513,-0.21530131354277005,0.008708325449432225,0.9994855086791884,0.013798034992449146,0.027613352540354803,178.95731899049414,-3.1504473509901336,1.6105260335617464,ema,wxyz,-X
96,1,primary,0,-1.2484156921786798,0.3661181012152968,-0.21293406076629756,0.009350768618078344,0.9995044140434682,0.013786047376617443,0.026710191530651194,178.8851708743912,-3.045908078040447,1.610088441096294,ema,wxyz,-X
97,1,primary,0,-1.2484383722673713,0.36561997527453505,-0.2128123587543521,0.008690296558659716,0.9995119445145766,0.013593723919426225,0.02674999417598026,178.96145264914227,-3.0517331058160777,1.5860558269578313,ema,wxyz,-X
98,1,primary,0,-1.2493649419352186,0.3666688946240793,-0.21191748153328857,0.011030368157777873,0.9994832241685153,0.013986808600398118,0.026757891717944578,178.69181473828425,-3.0484028306579147,1.6383047404927475,ema,wxyz,-X
99,1,primary,0,-1.249802013938718,0.3664519393396949,-0.21156755531398105,0.010825876891601409,0.9994613186145231,0.014162763795347056,0.027555201043066895,178.7133543831163,-3.139894222752939,1.658964581311564,ema,wxyz,-X
100,1,primary,0,-1.249847002891177,0.3678958013203917,-0.20760193889768974,0.011202142750820139,0.9994888189946333,0.014330001901929228,0.02629189510085343,178.67187938340453,-2.9942568751703047,1.6775375443551819,ema,wxyz,-X
101,1,primary,0,-1.2498865514431021,0.36800327157752577,-0.20798834070536013,0.010250233356205726,0.9994903203210023,0.01421664809751475,0.02668181436175746,178.78073242036635,-3.0406807197145285,1.6621907209706508,ema,wxyz,-X
102,1,primary,0,-1.249691819386975,0.36757335449095785,-0.2097344361998684,0.009057112262842688,0.9994988113380285,0.013992355233401676,0.026912986574305617,178.91788247991423,-3.0694011159296637,1.6330979639136205,ema,wxyz,-X
103,1,primary,0,-1.2497543977493872,0.36682284189543735,-0.20887943179021437,0.008565595607956014,0.9995251916714739,0.013902997543030047,0.026129072798376087,178.97585334878784,-2.980447081497768,1.62046424979183,ema,wxyz,-X
104,1,primary,0,-1.2498058482231107,0.3672622087870973,-0.20764048631120233,0.009404241905259389,0.9995374064001917,0.014020210433704782,0.025297571827350415,178.8807203609266,-2.883655600890574,1.6354090300761155,ema,wxyz,-X
105,1,primary,0,-1.2496806891676295,0.3658694328490918,-0.2094085274136707,0.0083165168889605,0.9995589222777231,0.01383592078032787,0.024927168671812463,179.00662369211645,-2.8431642288270336,1.6107306900318534,ema,wxyz,-X
106,1,primary,0,-1.249316717251592,0.3661330304987267,-0.21047254577016314,0.00883309654004283,0.9995517201159831,0.013933969102719712,0.024983589088400524,178.94700333458454,-2.8486946114392273,1.623511028926512,ema,wxyz,-X
107,1,primary,0,-1.249055402104672,0.36589546439315,-0.21042248764754387,0.008762800085157932,0.9995667800681222,0.01393749873282035,0.024396959810324987,178.95603953447008,-2.7815717769033643,1.6230549339497782,ema,wxyz,-X
108,1,primary,0,-1.2490434174143998,0.3654934017291763,-0.2101556577148578,0.008428994049488586,0.9995876354177665,0.013651983696265229,0.02381458629472643,178.9960723853578,-2.71565557965608,1.588746874813576,ema,wxyz,-X
109,1,primary,0,-1.2490202915091058,0.3663205794012083,-0.2110360531206107,0.009134817076020253,0.9995683436328682,0.013590214113392339,0.024392367748627516,178.91434878939654,-2.780818649146077,1.584252050426767,ema,wxyz,-X
110,1,primary,0,-1.2489435216980933,0.36627237161793935,-0.21184430284495948,0.00909084439649763,0.9995583949426519,0.013635338976981942,0.024788085420443456,178.91861534077933,-2.8261924995613343,1.5897646970155872,ema,wxyz,-X
111,1,primary,0,-1.2488779800634995,0.36710735470527767,-0.21304072688256784,0.009859950388317962,0.9995359734582342,0.013711579439229732,0.02534978758336481,178.82925724295478,-2.8892558321899315,1.6013879242249258,ema,wxyz,-X
112,1,primary,0,-1.248893164915219,0.36712393787644926,-0.21392942203819193,0.010348856411474667,0.9995327465227262,0.013841436443009222,0.025211196657531524,178.77303951977183,-2.872429082548217,1.6175152562184159,ema,wxyz,-X
113,1,primary,0,-1.2488296283342648,0.36685055811057943,-0.21247444233402216,0.009294268080445716,0.9995488168781671,0.01384895722974552,0.02497970460101123,178.89435996770806,-2.8475941936130833,1.6150699614466135,ema,wxyz,-X
