frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
60,15.189649105072021,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6685465874736345,0.5101874452304593,-0.15911079895605468,0.977575354517192,0.06443311780399899,-0.05703328303479799,0.19220302858413824
61,15.442962169647217,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6673338972317635,0.5212746181354874,-0.1541723356345127,0.9792937078455963,0.03329451460111838,-0.04894538885130971,0.19359663732021243
62,15.68250298500061,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6635984762489586,0.5269322338468112,-0.15458007189528206,0.9795592601644724,0.027351165409587305,-0.052657729754200494,0.1922049246869147
63,15.923489570617676,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6689117564733377,0.5133869972168377,-0.14776079024150218,0.9780005345170895,0.04744907114871967,-0.0635689493160536,0.19293140961042135
64,16.176753520965576,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6707395988462672,0.5121681963549942,-0.1512995321417121,0.97793857506817,0.04524266911913071,-0.06517942312958602,0.19323790281699102
65,16.426631689071655,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6695177903987894,0.5253521601154421,-0.15178292042456326,0.9792719957035717,0.015210622685323307,-0.05434671200425027,0.194528738963156
66,16.67487072944641,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.663837971848952,0.5251431094939205,-0.14987663302084608,0.979728491659999,0.028629196584823585,-0.05043509277136684,0.19175180090334093
67,16.92234969139099,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.66256777673695,0.5257318295342491,-0.162918579292569,0.9789539437472365,0.032952735389940466,-0.057893418415546516,0.19290320203722805
68,17.160935401916504,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6643987507301913,0.5231491097191856,-0.15442488804924676,0.9793774154800744,0.03162102857049462,-0.0465810079363143,0.19403659010441993
69,17.396795511245728,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.661436235177391,0.52182609172269,-0.1518140562410528,0.9795305599499414,0.04043338417231613,-0.03851435568819664,0.19339510845533617
